Ponto,Constatação
Data da bancada,O texto diz véspera das convenções. O script de extração usa 20/07/2018 e 20/07/2022; o CSV não guarda a data de referência. Não é possível certificar pelo CSV que representa a véspera. As estatísticas usam o arquivo disponível.
Competitivos até Mp + 1: números do texto,"A redação informa 94% em 2018 e 56% em 2022. Os scripts atuais e a base consolidada retornam 241/292 = 82,534% e 117/252 = 46,429%. Estes números precisam ser corrigidos na redação; a divergência não é explicada pela normalização de siglas."
Correção I-3-002: critério (ii) de competitivo restrito a disputa proporcional,"Aplicada em 2026-09-14. O critério de 10% do quociente eleitoral (candidato_competitivo) passou a valer só para Dep. Federal/Estadual, removendo Governador/Senador/Prefeito de gerar_rrd.py::adicionar_alcancou_10pct_qe_hist, conforme tese/03-medindo-coordenacao-intrapartidaria.qmd l. 68 e a recomendação I-3-002 de thesis-review/runs/run-001/synthesis/final_review.md. F (candidato_competitivo) cai de 886→879 em 2018 e 1287→1261 em 2022 (Dep. Federal), antes da correção D2 abaixo. Base e relatório anteriores arquivados em data/processed/archive/pre-i3-002_2026-09-14/ e tese/reports/old/rascunhos/resultados-capitulo-3-pre-i3-002_2026-09-14/."
Correção I-3-001/D2: zfill(11) no CPF de 2012/2014,"Aplicada em 2026-09-14. gerar_rrd.py::carregar_dados passou a normalizar nr_cpf_candidato com zfill(11) na leitura de candidatos.parquet (28,6% dos CPFs de 2012 e 26,4% dos de 2014 estavam gravados sem zeros à esquerda, quebrando o merge histórico por CPF-string para candidaturas com CPF iniciado em ""0""), conforme a recomendação nº 1 de I-3-001 em thesis-review/runs/run-001/synthesis/final_review.md. F (candidato_competitivo) sobe de 879→938 em 2018 e 1261→1275 em 2022 (Dep. Federal, já com I-3-002 aplicado). Não inclui D1 (chave de merge não única entre cargos/municípios) nem D3 (desempate na identidade da candidatura), que permanecem pendentes. Base e relatório anteriores a esta correção arquivados em data/processed/archive/pre-i3-001-d2-zfill_2026-09-14/ e tese/reports/old/rascunhos/resultados-capitulo-3-pre-i3-001-d2-zfill_2026-09-14/."
Diferença NECr − eleitos,"As medianas 1,25 e 4,18 do texto correspondem a todas as listas financiadas, incluindo listas sem eleitos. Restritas às listas com eleitos, as medianas são 0,908 e 4,402. A razão NECr/E necessariamente usa apenas listas com eleitos."
Origem partidária e fonte pública,gerar_rrd.py define vr_receita_recursos_partidos pela origem “Recursos de partido político”. A coluna não é selecionada exclusivamente pela fonte FEFC/FP. A redação deve distinguir origem partidária de fonte pública; o relatório preserva a variável usada nos indicadores existentes.
Histórico de vitórias,"O texto encerra o histórico em 2014 e 2018; gerar_rrd.py considera vitórias até 2016 para 2018 e até 2020 para 2022, incluindo eleições municipais anteriores."
Cargos elegíveis,A redação inclui Presidente. A classificação implementada não contém coluna de vitórias presidenciais; inclui deputado distrital junto de estadual. Estes resultados preservam a implementação existente.
Gráfico de competitivos,O script atual cap3_plot_competitivos_mag.py agrega somente por magnitude. O parágrafo da tese também descreve tipos de partido; os cruzamentos estão fornecidos na seção 2 com tipo ex-ante.
Tipo de partido,gerar_features define tipo_partido pelo resultado nacional da própria eleição. O relatório usa tipo_partido_exante da bancada prévia para evitar usar o resultado na classificação do partido.
NECr e Mp + 1,O script das figuras arredonda NECr antes da comparação. O relatório distingue a regra contínua da arredondada e usa a junção normalizada da bancada.
Siglas da bancada,Painéis consolidados normalizam acentos e aliases e somam por chave. Scripts antigos de figuras fazem junção por sigla sem a mesma normalização. A comparação numérica entre essas versões aparece abaixo.
Interpretação,Diferença C − NECr não é contagem de candidatos sem financiamento; aumento descritivo entre 2018 e 2022 não identifica efeito causal de mudanças institucionais. Cobertura dos eleitos tampouco demonstra isoladamente coordenação intencional.
