linha,trecho,numeros
5,"Para a primeira geração de estudos sobre o voto preferencial, sistemas como a representação proporcional de lista aberta colocariam em oposição a busca individual dos candidatos por votos e o interesse coletivo dos partidos. Como discutido no capítulo anterior, a segunda geração desafia o argumento de que esses incentivos levem necessariamente à fragilidade das organizações partidárias. Esta segunda geração destaca que, mesmo sem determinar a ordenação final das listas, as organizações conservam instrumentos para influenciar as condições em que seus candidatos disputam [@mershon2020].",
9,"O financiamento partidário já ocupava posição central antes das reformas que vedaram as doações empresariais e instituíram o Fundo Especial de Financiamento de Campanha (FEFC). @silvacervi2017 mostram que, em 2014, os partidos se tornaram a principal origem imediata das receitas das candidaturas à Câmara dos Deputados. As empresas passaram a transferir mais recursos por intermédio de partidos e comitês financeiros do que diretamente aos candidatos, e 89,6% dos valores repassados pelos partidos tinham origem empresarial. Os autores também mostram que o crescimento dos repasses partidários foi acompanhado de maior desigualdade nos valores recebidos pelas candidaturas. Essa intermediação, porém, não assegurava autonomia partidária sobre a destinação do dinheiro, pois as doações indiretas poderiam continuar atendendo a candidaturas específicas indicadas pelos financiadores, como discutem os próprios autores.","2014; 89,6%"
11,"Nas eleições gerais imediatamente seguintes, em 2018, os partidos passaram a distribuir os recursos do FEFC. A mudança deslocou a questão da intermediação de doações empresariais para a alocação de um fundo público cujos critérios de distribuição interna são definidos pelas organizações partidárias. Essa prerrogativa passou a conviver com a obrigação de observar a proporção de candidaturas femininas na distribuição do FEFC, respeitado o mínimo de 30%. Nas eleições de 2022, os partidos também estavam sujeitos à destinação proporcional de recursos a candidaturas negras [@tse2018financiamentofeminino; @tse2022criteriosfefc]. Essas regras condicionam as escolhas partidárias, mas não fixam uma parcela igual para cada candidatura contemplada. Permanece, assim, espaço para priorizar um subconjunto de candidatas e candidatos também dentro dos grupos aos quais os recursos estão vinculados.",2018; 30%; 2022
13,"Como mostram @silvacodato2024, a predominância do financiamento público não eliminou a desigualdade de recursos entre candidaturas. Constatar essa desigualdade, entretanto, ainda deixa em aberto quem é favorecido pela distribuição partidária. Neste capítulo, a priorização financeira designa a destinação de parcelas maiores dos recursos partidários a um subconjunto de candidaturas de uma mesma nominata. Interessa verificar se essa priorização possui uma orientação eleitoral reconhecível. Para isso, investiga-se se, nas eleições de 2018 e 2022, os partidos sobrerrepresentam candidaturas com credenciais eleitorais prévias entre aquelas que mais favorecem com seus recursos.",2018; 2022
15,"Essa expectativa aproxima duas contribuições da literatura. @cheibubsin2020 argumentam que a competição se organiza em torno de um número de candidaturas competitivas inferior ao total de nomes formalmente lançados. Já @janusz_barreiro_cintron_2021 mostram que, uma vez formada a lista, os partidos ainda distribuem recursos que favorecem algumas campanhas em relação a outras. Os autores denominam essa atuação *resource gatekeeping*, estendendo a análise do controle partidário para além da seleção de candidaturas. Ao analisar as eleições de 2014, encontram associação entre experiência em cargos eletivos e financiamento partidário, embora essa experiência não explique as desvantagens de financiamento das mulheres.",2014
19,"Para examinar essa expectativa, é necessário distinguir as informações disponíveis antes da votação dos resultados produzidos pela própria disputa. Em @silvacervi2017, os grupos comparados são definidos pelo desempenho na eleição cujo financiamento é analisado. A classificação de competitividade de @cheibubsin2020 também incorpora resultados da eleição sob análise. Esses procedimentos permitem descrever a relação entre financiamento e desempenho, mas não isolam os sinais eleitorais anteriores aos repasses. Por isso, este capítulo segue a orientação *ex-ante* de @janusz_barreiro_cintron_2021 e adapta os critérios de @cheibubsin2020, utilizando exclusivamente vitórias e votações de eleições anteriores para identificar as credenciais das candidaturas.",
27,"A análise utiliza registros de candidaturas, resultados eleitorais e prestação de contas provenientes do Portal de Dados Abertos do TSE. O universo reúne 7.630 candidaturas em 2018 e 9.675 em 2022.",7.630; 2018; 9.675; 2022
29,"O histórico eleitoral de cada candidatura destas eleições foi verificado pelo CPF, retroagindo até as eleições de 1998, que foram as primeiras a identificar os candidatos com este documento. Dessa maneira, os candidatos de 2018 e 2022 são vinculados a contagens de suas vitórias eleitorais anteriores para cada cargo disputado.",1998; 2018; 2022
33,"A base de dados composta soma 859 listas em 2018 e 711 em 2022. Destas, 73 não receberam recursos partidários em 2018 e 63 nominatas em 2022. Dos candidatos nas listas sem recursos de partidos, três candidatos foram eleitos em 2018 e nenhum em 2022.",859; 2018; 711; 2022; 73; 2018; 63; 2022; 2018; 2022
37,O tamanho do núcleo priorizado é calculado por uma medida endógena à distribuição dos recursos de campanha em cada lista. Uma adaptação do Número Efetivo de Partidos de @laaksotaagepera1979 proposta por @thomsen2023: o Número Efetivo de Candidatos em recursos (NECr). O NECr ao nível da nominata é calculado da seguinte maneira:,
40,"NECr_l=\frac{1}{\sum_{i=1}^{C_l}s_{il}^{2}},",1; 1; 2
44,R_l=\sum_{i=1}^{C_l}R_{il}>0 .,1; 0
49,"O NECr de cada lista é convertido em inteiro por $k_l=\lfloor NECr_l+0{,}5\rfloor$, um arredondamento convencional. As candidaturas são ordenadas de maneira decrescente pelos recursos partidários recebidos e as $k_l$ primeiras posições formam o Top-NECr. Se há empate na posição igual a $k_l$, as posições que restam são divididas igualmente entre as candidaturas empatadas. Em listas sem recursos partidários, não há definição de NECr e atribui-se $k_l=0$.",0; 5; 0
